286	-296	-534
242	-313	-546
243	-331	-540
281	-342	-519
213	-370	-533
106	-350	-563
119	-293	-580
223	-266	-563
222	-213	-574
41	202	-511
55	91	-564
42	97	-563
-14	157	-538
-55	195	-513
-121	231	-472
-213	206	-450
-274	145	-449
-269	114	-467
-229	154	-471
-211	114	-497
-214	28	-525
-222	-59	-538
-229	-201	-531
-218	-269	-525
-137	-327	-540
-49	-346	-557
24	-314	-574
113	-214	-595
154	-165	-594
195	-111	-586
226	-22	-569
270	26	-544
253	112	-520
205	202	-491
204	215	-483
222	214	-477
151	199	-506
124	206	-507
163	161	-525
235	58	-548
290	-238	-542
287	-392	-488
149	-491	-474
-89	-415	-512
-189	-314	-521
-191	-341	-511
-179	-459	-450
-263	-347	-471
-269	-315	-482
-315	-200	-480
-320	-64	-482
-249	87	-494
-210	136	-494
-181	176	-489
-185	233	-452
-149	261	-444
-65	261	-469
27	240	-494
65	185	-525
114	-29	-594
107	-210	-597
126	-245	-590
72	-340	-568
12	-342	-567
-79	-368	-543
-112	-290	-560
-193	-171	-553
-244	-12	-522
-234	103	-494
-182	170	-489
-117	206	-494
-38	258	-478
28	280	-466
123	284	-461
154	276	-459
151	271	-464
125	238	-494
122	217	-509
134	232	-496
117	267	-474
85	281	-468
-54	295	-449
-57	278	-462
-55	280	-460
-5	276	-468
22	268	-477
15	245	-492
119	208	-510
267	34	-545
273	-107	-565
243	-216	-569
195	-263	-576
8	-248	-597
-74	-208	-593
-126	-158	-583
-138	-159	-582
-171	-99	-570
-192	-64	-561
-210	-49	-551
-243	-51	-536
-268	-67	-524
-263	-28	-519
-260	-7	-518
-259	41	-505
-253	87	-492
-236	109	-492
-223	115	-496
-204	163	-482
-141	244	-459
-120	273	-444
37	286	-457
97	252	-482
115	243	-486
151	195	-508
154	183	-514
155	157	-529
150	159	-527
181	187	-505
157	188	-512
-36	227	-494
-58	211	-501
-43	213	-502
-33	184	-519
-46	156	-531
-42	131	-543
90	66	-572
195	-10	-575
246	4	-554
260	37	-541
327	-43	-527
354	-139	-520
346	-222	-517
325	-228	-528
267	-273	-543
216	-295	-556
143	-311	-570
136	-313	-569
108	-328	-568
-22	172	-522
49	4	-579
223	373	-269
275	344	235
-22	8	451
-16	-295	421
199	-62	434
361	-44	389
390	-165	364
654	-367	-83
632	-278	4
629	-267	23
628	-272	23
562	84	9
618	-90	202
84	-38	457
61	-30	455
91	-17	449
76	30	448
75	14	450
14	11	452
22	116	441
32	42	549
78	-83	517
109	40	435
26	264	343
30	418	158
6	464	-135
-79	463	-77
-116	446	-138
-43	369	-361
-17	162	-533
-115	272	-443
-115	274	-444
-74	396	-324
-44	335	-414
-31	354	-399
45	312	-447
68	335	-424
88	314	-442
73	345	-414
69	350	-410
29	367	-396
-17	382	-374
-44	439	-283
-78	453	-241
-432	-48	-382
-408	-182	-408
-313	-228	-490
-97	-280	-580
158	-311	-579
329	-220	-543
428	-289	-458
446	-499	-252
424	-549	-128
377	-550	15
374	-568	-60
223	-644	-38
-51	-538	221
-173	-643	-93
-495	-291	65
-265	222	305
-230	201	340
-214	266	315
-111	261	353
339	40	312
480	-312	117
351	-428	168
172	-534	168
31	-589	105
-33	-585	101
-50	-549	160
107	-422	294
164	-242	383
-72	245	369
-190	400	194
-206	436	112
-245	448	-62
-224	456	-92
-202	467	-81
-175	475	-88
-185	407	-283
-171	248	-463
-100	52	-577
-105	49	-575
-93	161	-536
-57	173	-539
-18	146	-556
46	134	-564
126	123	-563
199	118	-551
241	100	-543
237	123	-534
205	156	-529
101	237	-506
32	239	-512
-111	205	-510
-146	222	-489
-82	227	-504
-49	245	-501
-25	307	-457
14	390	-366
18	401	-357
154	375	-369
248	348	-357
349	296	-339
402	216	-370
385	126	-446
405	-3	-479
299	-383	-498
141	-449	-513
-48	-392	-543
-137	-271	-564
-158	-186	-571
-174	-149	-568
-215	-129	-552
-240	-70	-539
-221	43	-528
-168	131	-520
-113	183	-516
-13	248	-493
-41	251	-489
-149	217	-483
-257	-276	-511
-53	-450	-509
96	-476	-501
175	-437	-511
281	-339	-522
333	-326	-499
499	-42	-386
303	344	-311
1	395	-355
-303	202	-405
-272	42	-503
-215	-101	-556
-256	-149	-533
-286	-277	-491
-283	-352	-465
-343	-323	-431
-337	-414	-375
-330	-412	-386
-242	-511	-371
-18	-596	-375
228	-540	-402
319	-428	-453
163	-340	-561
38	-307	-581
-61	-267	-581
-54	-285	-577
-42	-371	-549
-28	-440	-517
-56	-481	-485
-100	-499	-458
-185	-487	-428
-207	-517	-386
-250	-522	-342
-290	-512	-307
-442	-226	-352
-417	-46	-399
-309	168	-424
-24	298	-458
116	329	-426
170	317	-422
220	304	-415
241	285	-424
291	395	-227
307	422	-105
316	419	-46
261	402	136
272	289	268
320	188	301
305	166	320
266	181	335
232	247	318
208	393	187
137	438	163
142	412	204
214	270	314
232	122	378
158	-59	427
140	-274	385
94	-558	169
68	-579	137
58	-592	107
104	-617	28
173	-619	-27
224	-604	-22
234	-599	-9
245	-577	52
297	-529	100
375	-481	81
380	-535	-156
190	-592	-326
45	-567	-403
4	-542	-429
-83	-445	-499
-108	-321	-554
-113	-135	-586
-93	33	-575
-78	182	-523
-41	286	-462
-97	334	-408
-109	380	-352
-137	396	-314
-158	357	-358
-156	243	-466
-161	-58	-573
-100	-285	-572
-16	-458	-507
19	-468	-499
-9	-528	-445
20	-580	-389
178	-574	-371
165	-528	-435
165	-464	-495
202	-403	-522
193	-356	-549
185	-324	-563
182	-301	-573
190	-268	-579
190	-259	-580
175	-234	-589
163	-236	-591
114	-254	-595
86	-282	-592
96	-277	-591
122	-273	-587
141	-294	-579
160	-290	-578
245	-261	-559
430	-169	-459
420	-440	-330
374	-507	-296
354	-535	-275
306	-572	-270
277	-591	-256
304	-582	-237
354	-511	-318
397	-409	-386
405	-359	-417
396	-371	-417
388	-385	-412
386	-388	-413
385	-392	-413
387	-400	-403
386	-410	-395
389	-410	-395
396	-411	-387
402	-410	-379
405	-421	-364
398	-462	-328
410	-420	-357
418	-404	-365
417	-402	-371
408	-408	-377
387	-436	-370
378	-451	-366
385	-455	-355
351	-504	-336
345	-529	-297
410	-518	-135
447	-470	-36
329	-572	-211
304	-596	-169
297	-604	-143
111	-650	8
59	-651	25
-2	-553	214
-39	40	436
